Source,Text,IsAI
PDF,"""Would you like to hear 
more?""The crowd applauded.",no
PDF,"""My capitaine is waiting, sir.""Langdon barely heard him.His eyes were still riveted on the picture.",no
PDF,You must retrieve the stone for me.Immediately.Tonight.,no
PDF,"How will I enter?""With the confident tone of a man of enormous influence, the Teacher explained what 
was to be done.When Silas hung up the phone, his skin tingled with anticipation.",no
PDF,"Again the image of the curator's body flashed in his mind.Jacques Saunière did that 
to himself?",no
PDF,"Arc du Carrousel.Despite the orgiastic rituals once held at the Arc du Carrousel, art aficionados 
revered this place for another reason entirely.From the esplanade at the end of the 
Tuileries, four of the finest art museums in the world could be seen... one at each point of 
the compass.",no
PDF,"""Bezu Fache,"" the driver said, approaching the pyramid's main entrance.""We call 
him le Taureau.""",no
PDF,"The man was stocky and dark, almost Neanderthal, dressed in a dark double-breasted suit 
that strained to cover his wide shoulders.He advanced with unmistakable authority on 
squat, powerful legs.",no
PDF,"""Yes.We'd planned to meet at the American University reception following my 
lecture, but he never showed up.""",no
PDF,"Langdon hesitated, uncertain exactly how to put it.""Essentially, the manuscript is 
about the iconography of goddess worship—the concept of female sanctity and the art 
and symbols associated with it.""Fache ran a meaty hand across his hair.",no
PDF,"The elevator jolted to a stop, and the doors opened.Langdon stepped quickly out into the hallway, eager for the wide-open space 
afforded by the famous high ceilings of the Louvre galleries.",no
PDF,"Leaving the small congregation of agents behind, Fache led Langdon farther down 
the darkened hallway.Thirty yards ahead loomed the gateway to the Louvre's most 
popular section—la Grande Galerie—a seemingly endless corridor that housed the 
Louvre's most valuable Italian masterpieces.Langdon had already discerned that this was 
where Saunière's body lay; the Grand Gallery's famous parquet floor had been 
unmistakable in the Polaroid.",no
PDF,"He's kidding, right?The barricade looked like a guillotine waiting to crush 
intruders.Fache grumbled something in French and checked his watch.",no
PDF,"Its residence halls, teaching centers, 
and even universities could be found in almost every major metropolis on earth.Opus 
Dei was the fastest-growing and most financially secure Catholic organization in the 
world.",no
PDF,"The media was now referring to Opus Dei as ""God's Mafia"" and ""the Cult of 
Christ.""We fear what we do not understand, Aringarosa thought, wondering if these critics 
had any idea how many lives Opus Dei had enriched.The group enjoyed the full 
endorsement and blessing of the Vatican.",no
PDF,"And with it, of 
course, had come his skills.Rusty but serviceable.Jesus' message is one of peace... of nonviolence... of love.",no
PDF,"Langdon looked out at the enormous corridor before them.""So where is his 
body?""Fache straightened his cruciform tie clip and began to walk.",no
PDF,"As Langdon stood over the body and squinted in the harsh light, he 
reminded himself to his amazement that Saunière had spent his last minutes of life 
arranging his own body in this strange fashion.Saunière looked remarkably fit for a man of his years... and all of his musculature 
was in plain view.",no
PDF,"""One 
of the oldest symbols on earth.Used over four thousand years before Christ.""",no
PDF,"""I assure you,"" Langdon said, ""despite what you see in the movies, the pentacle's 
demonic interpretation is historically inaccurate.The original feminine meaning is 
correct, but the symbolism of the pentacle has been distorted over the millennia.In this 
case, through bloodshed.""",no
PDF,"Scrawled in luminescent handwriting, the curator's final words glowed 
purple beside his corpse.As Langdon stared at the shimmering text, he felt the fog that 
had surrounded this entire night growing thicker.Langdon read the message again and looked up at Fache.",no
PDF,"""Bishop Aringarosa called to ask me a favor,"" the abbé told her, his voice nervous.""One of his numeraries is in Paris tonight...."" 
As Sister Sandrine listened to the odd request, she felt a deepening confusion.""I'm 
sorry, you say this visiting Opus Dei numerary cannot wait until morning?""",no
PDF,"Sadly, while most of 
the Catholic Church was gradually moving in the right direction with respect to women's 
rights, Opus Dei threatened to reverse the progress.Even so, Sister Sandrine had her 
orders.Swinging her legs off the bed, she stood slowly, chilled by the cold stone on the 
soles of her bare feet.",no
PDF,"He was accustomed to symbolic progressions that made some semblance 
of sense, but everything here—the pentacle, the text, the numbers—seemed disparate at 
the most fundamental level.""You alleged earlier,"" Fache said, ""that Saunière's actions here were all in an effort 
to send some sort of message... goddess worship or something in that vein?",no
PDF,"Are you still certain?""Langdon was certain of nothing anymore.""The symbology and text don't seem to 
coincide.",no
PDF,Lame saints?Draconian devils?,no
PDF,"Once for their crimes against children.And once 
for shaming the good name of the Catholic Church.Collet had the odd sense it was the 
latter that angered Fache more.",no
PDF,"""Excusez-moi, messieurs.""Langdon turned to see a young woman approaching.",no
PDF,"He now looked like Mount Vesuvius about to erupt.Without taking his eyes off Sophie, 
he produced his own cell phone and held it out.""This line is secure, Mr. Langdon.",no
PDF,"Again, the voice on the line was 
Sophie's.""Mr. Langdon,"" the message began in a fearful whisper.",no
PDF,"He had left home when he was seven.His drunken father, a burly dockworker, 
enraged by the arrival of an albino son, beat his mother regularly, blaming her for the 
boy's embarrassing condition.When the boy tried to defend her, he too was badly beaten.",no
PDF,Mira el espectro!Perhaps the ghost will pass right through these walls!,no
PDF,"""How did I get here?""""Someone left you on my doorstep.You were ill.",no
PDF,"Silas and I shall not speak until this is over.""""I do this to protect your identity, Silas's identity, and my investment.""""Your investment?""",no
PDF,"Fache was not aware there even existed a mathematical progression that qualified as 
famous, and he certainly didn't appreciate Sophie's off-handed tone.""This is the Fibonacci sequence,"" she declared, nodding toward the piece of paper in 
Fache's hand.""A progression in which each term is equal to the sum of the two preceding 
terms.""",no
PDF,"Let's take a break 
for a few minutes.""He motioned back down the long hallway in the direction they had 
come from.",no
PDF,"Deal with Agent Neveu later, he told himself, already looking forward to firing her.Pushing Sophie from his mind, Fache stared for a moment at the miniature knight 
standing on Saunière's desk.Then he turned back to Collet.",no
PDF,"Langdon felt his apprehension rising.Look in my pocket?It sounded like some kind 
of cheap magic trick.",no
PDF,Spring in Paris is not all your song boasts.Langdon had thanked him and donned the jacket.Sophie's olive gaze was keen.,no
PDF,"""Because, Mr. Langdon, I believe you are innocent.""Sophie looked away for a 
moment and then back into his eyes.""And also because it is partially my fault that you're 
in trouble.""",no
PDF,"This is all coming out of order.Jacques Saunière and I..."" 
Sophie's voice caught, and Langdon heard a sudden melancholy there, a painful past, 
simmering just below the surface.Sophie and Jacques Saunière apparently had some kind 
of special relationship.",no
PDF,"The agent frowned.""It's the director of our Cryptology Department.""""And?""",no
PDF,"Pausing in the shadow of the massive doorway, he took a deep breath.It was not 
until this instant that he truly realized what he was about to do, and what awaited him 
inside.",no
PDF,"Sophie's parents had died 
when she was only four.Their car went off a bridge into fast-moving water.",no
PDF,"Sophie devoured them all.Eventually she turned her passion into a 
profession by becoming a codebreaker for the Judicial Police.",no
PDF,"I can get you out of this museum.But we 
need to act now.""Langdon's eyes went wide.",no
PDF,"Why, Sophie could not begin to 
imagine, but that was hardly the issue at this point.The fact remained that Bezu Fache 
was determined to put Robert Langdon behind bars tonight, at any cost.Sophie needed 
Langdon for herself, and it was this dilemma that left Sophie only one logical conclusion.",no
PDF,"Still, her actions made no sense.""But she obviously recognized the 
numbers as Fibonacci numbers because she came here and told us.I don't understand 
why she would leave the office without telling anyone she had figured it out.""",no
PDF,"he wondered.Is Langdon out on a ledge or— 
""Jesu!""Collet jumped to his feet as the dot shot farther outside the wall.",no
PDF,"""He's turning right on Pont des Saints-Peres!""Sure enough, the Trailor truck that had crossed the bridge was slowing down and 
making a right turn onto Pont des Saints-Peres.So be it, Fache thought.",no
PDF,"Langdon thrust the bar into her hand.Palming the soap, she peered out the shattered window at the eighteen-wheeler 
idling below.The target was plenty big—an expansive, stationary tarp—and it was less 
than ten feet from the side of the building.",no
PDF,"The 
sanctuary has played host to the baptisms of the Marquis de Sade and Baudelaire, as well 
as the marriage of Victor Hugo.The attached seminary has a well-documented history of 
unorthodoxy and was once the clandestine meeting hall for numerous secret societies.Tonight, the cavernous nave of Saint-Sulpice was as silent as a tomb, the only hint 
of life the faint smell of incense from mass earlier that evening.",no
PDF,"Silas took his hand from her shoulder.""Sleep well, Sister.",no
PDF,"""I've been thinking about the numbers all night.Sums, quotients, products.",no
PDF,"Da Vinci... Fibonacci numbers... the pentacle.Incredibly, all of these things were connected by a single concept so fundamental to 
art history that Langdon often spent several class periods on the topic.PHI.",no
PDF,"Measure the distance from your shoulder to your fingertips, and then divide it by the 
distance from your elbow to your fingertips.PHI again.",no
PDF,"""Nice job.Yes, the ratios of line segments in a 
pentacle all equal PHI, making this symbol the ultimate expression of the Divine 
Proportion.For this reason, the five-pointed star has always been the symbol for beauty 
and perfection associated with the goddess and the sacred feminine.""",no
PDF,"Few 
people realized that anagrams, despite being a trite modern amusement, had a rich history 
of sacred symbolism.The mystical teachings of the Kabbala drew heavily on anagrams—rearranging the 
letters of Hebrew words to derive new meanings.",no
PDF,"Once he had written the English word ""planets"" and told Sophie that an 
astonishing sixty-two other English words of varying lengths could be formed using 
those same letters.Sophie had spent three days with an English dictionary until she found 
them all.",no
PDF,"""Someday I'll tell you all about it.""Sophie stamped her foot.""I told you I don't like secrets!""",no
PDF,"Find Robert Langdon.Saunière had written Langdon's name on the floor, commanding Sophie to find him.But why?",no
PDF,"Langdon was suddenly 
feeling more certain about this, and yet the conclusion left an obvious gaping lapse in the 
logic of Saunière's actions.Why me?Langdon wondered, heading down the hall.",no
PDF,"There it is.Embedded in the gray granite floor, a thin polished strip of brass glistened in the 
stone... a golden line slanting across the church's floor.",no
PDF,"Tonight, however, the rules had changed.Only five months ago, Aringarosa had 
feared for the future of the Faith.Now, as if by the will of God, the solution had 
presented itself.",no
PDF,"It too was bathed in a soft red light.The Salle des Etats was one of this museum's rare 
culs-de-sac—a dead end and the only room off the middle of the Grand Gallery.This 
door, the chamber's sole point of entry, faced a dominating fifteen-foot Botticelli on the 
far wall.",no
PDF,"""Sophie, you need to respect other people's privacy.""Gently, he knelt down and took the key from her.""This key is very special.",no
PDF,"""Yes, that's my favorite flower.It's called a fleur-de-lis.",no
PDF,"This American obviously had volumes to share with her, but this 
was not the place.""I can't afford to let them catch you, Robert.There's a lot we need to 
discuss.",no
PDF,"He was 
lost in another place now.A place where ancient secrets rose to the surface.",no
PDF,"Her darkest fears had just 
been confirmed.This visitor was not who he seemed.The mysterious Opus Dei monk 
had come to Saint-Sulpice for another purpose.",no
PDF,"It was at that moment, eyeing his cellular phone, that Fache realized the answers 
were in the palm of his hand.Langdon used my phone to place that call.",no
PDF,"Behind it, he 
knew, in the confines of her own private cell, hung the most celebrated painting in the 
world.The Mona Lisa's status as the most famous piece of art in the world, Langdon knew, 
had nothing to do with her enigmatic smile.",no
PDF,"Historically, the concepts of male and female have assigned sides—left is female, and 
right is male.Because Da Vinci was a big fan of feminine principles, he made Mona Lisa 
look more majestic from the left than the right.""""I heard he was a fag,"" said a small man with a goatee.",no
PDF,"Jacques Saunière had 
indeed paid a visit to the Mona Lisa before he died.""He wouldn't have come here without a reason,"" Sophie whispered, standing up.""I 
know he left a message for me here.""",no
PDF,"""A bar of soap?But how could Langdon have known about the 
GPS dot?""",no
PDF,"""It's a proclamation 
of one of the Priory's most fundamental philosophies!""Sophie looked baffled in the glow of the message scrawled across the Mona Lisa's 
face.",no
PDF,"To this day, radical thought was considered left wing, 
irrational thought was left brain, and anything evil, sinister.The days of the goddess were over.",no
PDF,"He felt for an instant like a modern-day Moses.As Silas read the words on the tablet, he felt surprise.He had expected the keystone 
to be a map, or a complex series of directions, perhaps even encoded.",no
PDF,"Opus Dei is searching for the keystone.How they knew of it, 
Sister Sandrine could not imagine, although she knew she did not have time to think.",no
PDF,"Trying his 
walkie-talkie again, he got only static.The entrance was still a good twenty yards behind 
him, and Grouard began backing up slowly, choosing to leave his gun trained on the man 
on the floor.",no
PDF,"He was backing toward 
the entrance, still aiming the gun firmly at Langdon.""Au secours!""he shouted again into his radio.",no
PDF,"The canvas was only fabric, but it was utterly impenetrable—a six-million-dollar 
piece of body armor.I can't put a bullet through a Da Vinci!",no
PDF,"The outgoing message offered no 
name but simply asked the caller to leave a message.""The floor panel has been broken!""she pleaded as she left the message.",no
PDF,"""A hundred kilometers to the liter.""Langdon had barely thrown himself into the passenger seat before Sophie gunned 
the SmartCar up and over a curb onto a gravel divider.He gripped the dash as the car 
shot out across a sidewalk and bounced back down over into the small rotary at Carrousel 
du Louvre.",no
PDF,"Impossible to duplicate.Rather than teeth that moved tumblers, this key's complex series 
of laser-burned pockmarks was examined by an electric eye.If the eye determined that 
the hexagonal pockmarks were correctly spaced, arranged, and rotated, then the lock 
would open.",no
PDF,"Sure enough, his car was gone.It was the 
weekend.",no
PDF,"The room was a grotto—a coarse chamber that appeared to have been hollowed 
from the granite of the hillside.The only light came from torches on the walls.",no
PDF,"Langdon gave a grim sigh.""I take it the embassy is off-limits this evening?""Down the street, the two DCPJ officers who stood beside their cars were now staring 
in their direction, apparently curious about the headlights that had halted so abruptly up 
the street from them.",no
PDF,"Feeling a shiver of anticipation, Langdon took the object and examined it.It was 
heavy and shaped like a cruciform.His first instinct was that he was holding a funeral 
pieu—a miniature version of a memorial spike designed to be stuck into the ground at a 
gravesite.",no
PDF,"Dead ahead, at 
the end of Champs-Elysées, stood the Arc de Triomphe—Napoleon's 164-foot-tall tribute 
to his own military potency—encircled by France's largest rotary, a nine-lane behemoth.Sophie's eyes were on the rearview mirror again as they approached the rotary.",no
PDF,"Ahead of them, the glass-roofed train terminal resembled the awkward offspring of 
an airplane hangar and a greenhouse.European train stations never slept.",no
PDF,"Now, rather than being humbled by his unexpected 
rise to power, the Holy Father had wasted no time flexing all the muscle associated with 
the highest office in Christendom.Drawing on an unsettling tide of liberal support within 
the College of Cardinals, the Pope was now declaring his papal mission to be 
""rejuvenation of Vatican doctrine and updating Catholicism into the third millennium.""",no
PDF,"Following his escort up the wide travertine marble staircase, 
Aringarosa saw signs for conference centers, science lecture halls, and tourist information 
services.It amazed him to think the Vatican was failing at every turn to provide coherent, 
stringent guidelines for spiritual growth and yet somehow still found time to give 
astrophysics lectures to tourists.""Tell me,"" Aringarosa said to the young priest, ""when did the tail start wagging the 
dog?""",no
PDF,"Langdon examined the cruciform key again, holding it to the window, bringing it 
close to his eyes in an effort to find any markings on it that might indicate where the key 
had been made.In the intermittent glow of passing streetlights, he saw no markings 
except the Priory seal.""It doesn't make sense,"" he finally said.",no
PDF,"Sophie reached in her pocket and produced the UV penlight.Langdon took it and 
switched it on, shining the beam on the back of the key.The back luminesced instantly.",no
PDF,"Train station.Bought two tickets.Train just left.""",no
PDF,"Sophie nodded, her eyes riveted on him.""King Godefroi was allegedly the possessor of a powerful secret—a secret that had 
been in his family since the time of Christ.",no
PDF,"Literally, the very center of the Jewish faith.For almost a decade, the nine Knights lived 
in the ruins, excavating in total secrecy through solid rock.Sophie looked over.",no
PDF,"Blood was the backbone of the Sangreal, and yet not in the way 
Sophie probably imagined.""The legend is complicated, but the important thing to 
remember is that the Priory guards the proof, and is purportedly awaiting the right 
moment in history to reveal the truth.""",no
