Source,Text,IsAI
YouTube,"IF ELON USED HIS HEAD, HE COULD CONSTRUCT A WAY TO ELIMINATE ALL POLLUTION FROM OUR ATMOSPHERE WITHIN A YEAR WITH HIS SPACEX!!!",no
YouTube,10:03 Interesting. China doesn't want it's people to have internet that is not censored by their government... What does that tell you about China?,no
YouTube,Funny how the US govt wants to step in and force Musk to either stop or continue use in warring countries.,no
YouTube,"Their coverage of starling seems rather ill informed. SpaceX doesn’t “need starship” to continue operating starling. They seem to be doing just fine with falcon. They already have a viable product (over 5,000 already in orbit). Kuiper, on the other hand, has 2.",no
YouTube,Russia has been using automotive Garmin and TomTom GPS transceivers in their military aircraft. Do the need to have a contract with Russia?,no
YouTube,"Ok, hubble and starlink are in different orbits why do you claim herr that starling will be an issue to a telescooe that is praticaly in a diffent altitude and orbit, beside it will be retired soon, als the data and video evidence that stsrlinks burn up by design, part of its manufacturing parameter. Is so sick the constant lies, scaring people into beleving that we a specs on the planet can influence it.  Only rhe sun and the cosmos can cause chanhes to this huge planet.",no
YouTube,"He could care less about the atmosphere. 
All he cares about is money and his so- called self Devine .",no
YouTube,Elon Musk is definately doing down as a the greatest entrepreneur ever.,no
YouTube,How much lower can you sink cnbc?? You couldn't stand not to politicize a technological marvel,no
YouTube,Anybody using Starlink? What do you think? Is it safer than ground based net providers? Is it reliable?,no
YouTube,"I would be SHOCKED.. SHOCKED if all potential Starlink Satellites for a decade equaled the mass entering the atmosphere from one day, on a slow year of The Leonids meteor shower.",no
YouTube,"The thought that they are reaching saturation is a joke, there are billions of people who don't have access to reliable internet connection. As they continue to make more and more terminals they will get the cost curve under control and help those who are disadvantaged.",no
YouTube,"Disclaimer: This was a Dilettante Presumption Theorem: All statements of fact, opinion, or analysis expressed do not necessarily reflect official positions or views or any other entity, past or present. Nothing in the contents should be construed as asserting or implying endorsement of interpretations and factual statements.

Where are the Stars, the Sun and the Moon?
The video is just a modern day cartoon called (CGI) Computer-generated imagery (CGI) is the creation of still or animated visual content using imaging software.

UFO's, Aliens, and Outer-Space are only real in the Movies.
It is all Pure Machiavellian Mendacity.
Stop being naive and gullible.",no
YouTube,That actually wasn't bad.  Nice job actually reporting for a change.,no
YouTube,"What do you know, NBC putting out a hit piece on Elon.  He's just good.",no
YouTube,"Welcome to the future:   No privacy, no clear view of the stars, and technology with a high enough intelligence that it has the power to choose the extermination of the human population.",no
YouTube,"We live in a area where only sat internet is available. After years of suffering with hughs net, starlink is a huge game changer",no
YouTube,SpaceX made more progress in a few years than nasa has made in over 5 decade's.,no
YouTube,Elon needs to sever ties with nasa but they're sticking close to him so he doesn't reveal the FAKE moonlanding.,no
YouTube,Imagine losing a War because your wifi router went down....,no
YouTube,"JUST AS IMPORTANT FOR THE COMPANY . IT'S OK AND ACCEPTABLE TO PUT CARBON BASE INTO THE AIR. IF YOUR RICH.  BUT DONT YOU LOWER THEN DIRT MASSES DARE TO LIGHT UP A GAS STOVE OR HEAT UP YOUR HOMES.  


GOVERNMENTS AROUND THE WORLD DO WHAT THEY WANT AND BREAK THEIR OWN COMMANDS AND DEMANDS . CALLED RULES. BUT YOU CAN BLAME THIS ALL ON US CONSTITUEINTS.   AFTER ALL WE VOTED IN OUR OPPRESSORS.   NOW DIDN'T WE ?

HELL, IS COMING AND SATAN RIGHT BEHIND IT.


GOOD LUCK PEOPLE. WE'VE BEEN LIED TO TOTALLY...😮",no
YouTube,And the ANC in South Africa demanded 30% ownership of the system and Elon said no..😮😮😮😅😅😅...and now once again thanks to the ANC South Africa is going to be on the back foot to other countries on earth. 😮😮😮. Why are these fools still in charge is completely beyond me???,no
YouTube,We have star link here and we live in the wilderness on grass roads where we don’t even see or hear our neighbors.,no
